idListeVolume,numCom,lettre,x,nnn,datelivraison,typeverre,largeur,hauteur,faconnage,commentaire,chutesug
1,"18,10418",A,2,1,2018-10-05,PB16,1345,945,"MERK A",NULL,"1295(65%) 127(59%)"
2,"18,10418",A,2,2,2018-10-05,PB16,1345,945,"MERK 1",NULL,"129(65%) 127(59%)"
3,"18,11749",A,1,1,2018-09-28,PB16,1910,466,"INTERIEUROP 18211096/2",NULL,134(89%)
4,"18,12391",A,2,1,2018-10-01,PB16,280,280,CIRKLEB,NULL,"131(17%) 130(9%)"
6,"18,12393",A,1,1,2018-10-01,PB16,1968,706,NULL,NULL,133(86%)
7,"18,12971",A,3,1,2018-09-28,PB25,1270,893,"1270 MM = VISIONLINE",URGENT,"144(74%) 141(58%) 139(53%)"
8,"18,12971",A,3,2,2018-09-28,PB25,1270,893,"1270 MM = VISIONLINE",URGENT,"144(74%) 141(58%) 139(53%)"
9,"18,12971",A,3,3,2018-09-28,PB25,1270,893,"1270 MM = VISIONLINE",URGENT,"144(74%) 141(58%) 139(53%)"
10,"18,13087",C,2,1,2018-10-16,PB16,2502,913,"2502 VL",NULL,NULL
11,"18,13087",C,2,2,2018-10-16,PB16,2502,913,"2502 VL",NULL,NULL
16,"18,13087",G,2,1,2018-10-16,PB16,2502,913,"2502 VL",NULL,NULL
17,"18,13087",G,2,2,2018-10-16,PB16,2502,913,"2502 VL",NULL,NULL
