idType,nomType,epType,masseType,codeAGCType,sousfamille_type_idSousFamille_Type,descriptionCourte,descriptionComplete
1,NULL,6,15,331HE,2,03031HE,"Verre feuillete 33.1 Clair"
2,NULL,6,15,332HE,2,03032HE,"Verre feuillete 33.2 Clair"
3,NULL,8,20,442HE,2,04042HE,"Verre feuillete 44.2 Clair"
4,NULL,12,30,662HE,2,06062HE,"Verre feuillete 66.2 Clair"
5,NULL,16,40,0808DG41,2,10102DG41,"Verre feuillete 0808.2 DG41 Clair"
6,NULL,16,40,08082HE,1,08082HE,"Verre feuillete 88.2 Clair"
7,NULL,16,40,08082OP,2,08082HE,"Verre feuillete 88.2 Opalin"
8,NULL,20,50,10102DG41,2,10102DG41,"VERRE FEUILLETE 1010.2 DG41 CLAIR"
9,NULL,20,50,10102HE,2,10102HE,"VERRE FEUILLETE 1010.2 CLAIR"
10,NULL,20,50,10102OP,1,10102OP,"VERRE FEUILLETE 1010.2 OPALIN"
11,NULL,24,60,1212.2HE,2,1212.2HE,"VERRE FEUILLETE 1212.2 CLAIR"
12,NULL,24,60,1212.2XC,3,1212.2XC,"VERRE FEUILLETE 1212.2 EXTRA CLAIR"
13,NULL,24,60,1212.2OP,1,1212.2OP,"VERRE FEUILLETE 1212.2 OPALIN"
14,NULL,15,37,12009,4,"Klaar 15","FLOAT CLAIR 15MM"
15,NULL,15,37,14016,5,"XtraHelder 15","FLOAT EXTRA CLAIR 15MM"
16,NULL,19,47,12010,4,"Klaar 19","FLOAT CLAIR 19MM"
17,NULL,19,47,14019,5,"XtraHelder 19","FLOAT EXTRA CLAIR 19 MM"
18,NULL,8,17,PB7,6,"PYRO 07","PYROBELITE 7"
19,NULL,11,25,PB7EG,6,"PYRO 07 EG","PYROBELITE 7 EG EW 30"
20,NULL,17,40,PB16,6,"PYRO 16 EI","PYROBEL 16 EI 30"
21,NULL,21,48,PB16EG,6,"PYRO 16 EG","PYROBEL 16 EG EI 30"
22,NULL,22,55,PB17NEG,6,"PYRO 17N EG","PYROBEL 17N EG6"
23,NULL,24,55,PB16EG6,6,"PYRO 16 EG6","PYROBEL 16 EG6 EI 30"
24,NULL,24,60,PB25,6,"PYRO 25 EI","PYROBEL 25 EI 60"
25,NULL,27,68,PB25EG,6,"PYRO 25 EG","PYROBEL 25 EG EI 60"
26,NULL,53,122,PB53N,6,"PYRO 53N EI","PYROBEL 53 EI 120"
